abaca,6.320645568965637e-08,
abaci,1.4920510931258305e-08,
aback,1.126183335031783e-06,110.0
abaft,2.181616785685164e-07,
aband,9.628008567331449e-08,
abase,6.17710364991808e-08,26.0
abash,6.631916769938274e-08,
abate,1.036139835832728e-06,18.0
abbas,8.220093955598668e-08,
abbes,1.953796715760724e-08,
abbey,1.433003858437587e-06,208.0
abbot,1.4964825390961777e-06,1697.0
abeam,6.743613180050832e-08,
abets,7.915845270207895e-08,
abhor,3.674572980116864e-07,2070.0
abide,3.376823733560741e-06,1063.0
abies,4.2604561783638354e-08,
abled,8.85559484231635e-08,1731.0
abler,7.909167595589504e-07,
ables,2.684619005595306e-07,
ablet,2.09524499898054e-08,
ablow,2.7917603127442385e-08,
abode,2.0697126706181734e-06,1632.0
aboon,4.371475751385745e-08,
abord,1.646924153531925e-07,
abore,3.223709181056676e-07,
abort,8.027417095490819e-07,1355.0
about,0.001053331636358,728.0
above,0.0002410466049332,1877.0
abram,1.9826667640785106e-08,
absit,4.096303265306472e-08,
abune,1.4494884544131897e-08,
abuse,3.5653622726385945e-05,1481.0
abuts,1.561503047394689e-07,
abysm,1.952950045761656e-08,
abyss,1.600683060587471e-06,126.0
acari,1.5987479216136216e-08,
acerb,2.681165357307012e-08,
ached,3.455442653480608e-07,
aches,6.130771150235039e-07,
acids,1.014250996323932e-05,
acing,4.1521482357493193e-08,
acini,8.571780091367525e-08,
acker,2.6738030338531346e-08,
acock,1.5200587404169578e-08,
acold,1.5002521961276623e-08,
acorn,4.211164701928283e-07,703.0
acred,7.333339513817026e-07,
acres,3.211736135664449e-05,
acrid,4.830495737451202e-07,1153.0
acros,2.9363763576633744e-08,
acted,2.648669244973252e-05,
actin,3.1402502210274256e-07,
acton,4.006449809177928e-08,
actor,1.19104319037433e-05,1674.0
acute,2.771924762782873e-05,190.0
adage,7.225110147146551e-07,1098.0
adapt,8.287095988634974e-06,2286.0
adays,3.247100594901024e-07,
added,9.769780896861518e-05,
adder,5.769610972300016e-07,
addle,1.3296331863908396e-07,
adept,1.7481197369306756e-06,1216.0
adieu,2.1865968532844924e-06,
adits,7.430839434885428e-08,
admin,1.1399343816265172e-06,1653.0
admit,1.820914305426413e-05,485.0
admix,1.6586268390363412e-08,
adobe,8.033893800529767e-07,40.0
adopt,2.1856387320440263e-05,990.0
adore,9.680584685156646e-07,1131.0
adorn,7.524582042606199e-07,1109.0
adown,1.7101628280681888e-07,
adrad,3.0272302986524753e-08,
adsum,1.568510981994833e-08,
adult,4.408951157529373e-05,2309.0
adust,1.3527524878470106e-07,
adzes,5.203695456756919e-08,
aecia,1.4728346163826412e-08,
aedes,1.4998964586326452e-07,
aegis,2.492367561531731e-07,
aeons,7.13991582242006e-08,
aerie,4.623981291196344e-08,
affix,7.80145306293889e-07,2039.0
afire,2.980467405677701e-07,1494.0
afoot,6.454296442370833e-07,1222.0
afore,8.035467261235086e-06,
afoul,4.034328378565988e-07,1244.0
after,0.0005950968305114,1374.0
again,0.0002439171663718,1505.0
agape,4.2181427687637553e-07,395.0
agast,2.877454961742913e-07,
agate,3.908818155196059e-07,102.0
agave,5.0739000628369653e-08,
agent,5.3657259195460937e-05,1624.0
agers,1.0132188074364078e-07,
agger,6.267453572196867e-08,
agile,1.0855067847614918e-06,1247.0
aging,1.2013797550025629e-05,561.0
agist,2.3216927643219772e-08,
agita,3.9568064283188255e-08,
aglow,2.293505397688023e-07,1290.0
agone,4.724977584968926e-07,
agony,3.6050901735507055e-06,1050.0
agood,4.699178021474801e-07,
agora,2.15101970439946e-07,241.0
agree,5.061361734988168e-05,70.0
agros,7.534919931585247e-08,
agues,3.6191658348176777e-07,
ahead,3.70468999244622e-05,260.0
aheap,2.5717936434259083e-08,
ahigh,3.491172070324566e-08,
ahold,2.4384958119405552e-08,
aided,6.032008739090053e-06,
aider,1.6166665702144204e-07,852.0
aides,8.672384430346697e-07,
aiery,9.842290581216433e-08,
aight,3.48665664545295e-08,
ailed,5.597904316090307e-07,
aimed,7.489997129430146e-06,
aimer,8.357980454398728e-08,
aired,4.80700477057693e-07,
airer,1.4801627413591353e-08,
airth,2.121112191294944e-08,
aisle,3.2282234201375104e-06,1658.0
aking,5.663499597502025e-07,
alack,2.429214387969289e-07,
alamo,1.4419867787062852e-08,
aland,1.156606544931822e-07,
alane,6.542345768723889e-08,
alang,4.0710210641875095e-08,
alarm,1.034104223435861e-05,1521.0
alary,2.836971913179929e-08,
alate,8.82816488612958e-08,
albee,3.196532024947249e-08,
album,5.730755469812721e-06,347.0
alder,5.113302105422909e-07,
aldol,4.279630896309749e-08,
aleph,3.3005786251957186e-08,
alert,8.937168095144443e-06,1563.0
algae,5.234422947069106e-06,1047.0
algal,3.809822561292501e-07,
algum,1.9035861611310657e-08,
alias,1.1954366198752865e-05,
alibi,1.0340601897951273e-06,2215.0
alien,1.2385608588374453e-05,429.0
align,2.577629709321627e-06,1139.0
alike,1.166132093203487e-05,478.0
aline,2.2660710301205883e-07,
alist,1.9257207317657788e-08,
alive,2.3980135483725463e-05,892.0
alkyd,5.7180251799045464e-08,
alkyl,1.1516879622118077e-06,
allay,7.389271479496528e-07,2118.0
allee,1.4400660707492874e-08,
allel,2.4318016408256905e-08,
alley,3.2501207465429618e-06,909.0
allis,4.449133390371785e-07,
allot,4.75535981934172e-07,2098.0
allow,8.620703410997522e-05,276.0
alloy,1.007437202588335e-05,2040.0
allyl,1.777466399587569e-07,
almas,1.7199946282199827e-08,
almes,1.901875197077509e-06,
almug,1.8218734077965482e-08,
aloes,5.831543072500376e-07,
aloft,1.352890931229922e-06,231.0
aloin,1.4409334519909052e-08,
alone,9.382605538121424e-05,112.0
along,0.0001789049452054,1261.0
aloof,1.4226929079086404e-06,1805.0
aloud,5.813061397930141e-06,525.0
alowe,2.2897430481063545e-07,
alpha,8.343059598701074e-06,470.0
altar,6.811890161770862e-06,137.0
alter,1.575824806423043e-05,1508.0
altho,4.225267696652461e-06,
altos,8.705041803630949e-08,
alums,4.2930794522751866e-08,
alure,4.039868263880151e-08,
alway,4.427499281416221e-06,
amain,6.456214822280461e-07,
amass,3.794897662601216e-07,1069.0
amate,1.2431788822520905e-07,
amaze,3.755604817001768e-07,881.0
amber,2.008331018714671e-06,2033.0
ambit,2.328397603202658e-07,
amble,1.344009108095179e-07,1025.0
ambos,2.55665425471422e-08,
ameba,2.7484440538044776e-08,
ameer,1.2361368606772506e-07,
amend,1.825466565151146e-05,1162.0
amens,2.7434510412572576e-08,
ament,2.488368038989518e-07,
amice,7.576299117047963e-08,
amici,2.205899887539267e-07,
amide,5.984692655026829e-07,
amido,7.825361621749404e-08,
amids,7.00542723866762e-08,
amies,1.3979242674544428e-07,
amigo,3.9311093977897255e-08,
amine,1.3471833241851528e-06,
amino,3.3161337332110465e-06,
amirs,4.077765341322135e-08,
amiss,8.585484840750723e-07,1862.0
amity,3.604219608632775e-07,1388.0
ammon,5.289771680512428e-08,
among,0.0002288377852528,1043.0
amort,1.1394776687340552e-07,
amour,6.869016197824224e-07,
amove,4.865638191007784e-08,
ample,7.510876948799705e-06,308.0
amply,1.8086476416101505e-06,795.0
amuck,2.9732620047001193e-08,
amuse,1.0552521246154356e-06,1051.0
ancho,1.8165346094001224e-08,
ancle,2.519909015725912e-07,
andro,1.437162067595955e-07,
anear,2.024950765592367e-08,
anent,1.793163982366508e-06,
angel,6.871398145449348e-06,1844.0
anger,2.0774770000571152e-05,2190.0
angle,3.624957178544719e-05,649.0
anglo,3.5008273854190226e-08,
angry,1.8509108285798e-05,410.0
angst,4.612720071861533e-07,1125.0
anile,1.82753968697585e-08,
anils,3.598651954617385e-08,
anima,9.209092961161612e-07,
anime,1.9960039061572842e-07,911.0
